"ID","Site","Layer","Fire","Cortex","Class","Blank","Blank.technology","Technology","Preservation","Length","Width","Thickness","Robustness","Elongation","Platform.width","Platform.thickness","Platform_ratio","Platform.type","Platform.shape","Bulb","Bulbar.scars","Bulb.type","Lip","Lip.type","Curvature","Torsion","Torsion.simplified","Section","Blank.shape","Scar.pattern","Scar.pattern.2","Distal.end","Plunging","Bladelet.negatives","Typology","Typology.new","Retouch.position","Dorsal.retouch.localization","Ventral.retouch.localization","left_right","Volume","Area","raw.material.type","raw.material.source","raw.material.lumped","raw.material.provenience","X3D","Scanner"
"RB_1","RB","A2",FALSE,"0%","Tool","Bladelet","Optimal production","Optimal","Mesial",NA,7.09999990463257,1.60000002384186,4.43749987427145,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Absent",FALSE,"Absent","Curved slightly","0","no","Trapezoidal",NA,"Unidirectional convergent","Unidirectional convergent",NA,FALSE,FALSE,"Bladelet with lateral retouch","Retouched bladelet","Inverse",NA,"Continuous right","Unilateral right",NA,NA,"Chert","Local","Local","Local","no",NA
"RB_2","RB","A1",TRUE,"0%","Tool","Bladelet","Optimal production","Optimal","Distal",NA,4.19999980926514,1.10000002384186,3.81818156202963,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Absent",FALSE,"Absent","Straight","0","no","Trapezoidal",NA,"Unidirectional convergent","Unidirectional convergent","Convex",FALSE,FALSE,"Bladelet with lateral retouch","Retouched bladelet","Inverse",NA,"Continuous right","Unilateral right",NA,NA,"Chert","Local","Local","Local","no",NA
"RB_3","RB","A2",FALSE,"0%","Tool","Bladelet","Optimal production","Optimal","Proximal",NA,5.5,1.2,4.58333333333333,NA,1.10000002384186,0.100000001490116,11.0000000745058,"Linear","Linear",FALSE,FALSE,"Absent",TRUE,"Moderate","Curved slightly","0","no","Triangular",NA,"Unidirectional parallel","Unidirectional parallel",NA,FALSE,FALSE,"Bladelet with lateral retouch","Retouched bladelet","Inverse",NA,"Continuous right","Unilateral right",NA,NA,"Chert","Local","Local","Local","no",NA
"RB_4","RB","A2",FALSE,"0%","Tool","Bladelet","Optimal production","Optimal","Mesial",NA,5.90000009536743,2.09999990463257,2.80952398252596,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Absent",FALSE,"Absent","Straight","0","no","Trapezoidal",NA,"Unidirectional parallel","Unidirectional parallel",NA,FALSE,FALSE,"Bladelet with lateral retouch","Retouched bladelet","Inverse",NA,"Continuous right","Unilateral right",NA,NA,"Chert","Local","Local","Local","no",NA
"RB_5","RB","A2",FALSE,"0%","Tool","Bladelet","Optimal production","Optimal","Mesial",NA,4.19999980926514,1.79999995231628,2.33333328918175,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Absent",FALSE,"Absent","Straight","0","no","Triangular",NA,"Unidirectional parallel","Unidirectional parallel",NA,FALSE,FALSE,"Bladelet with lateral retouch","Retouched bladelet","Alternate","Continuous left","Continuous right","Ventral right",NA,NA,"Chert","Local","Local","Local","no",NA
"RB_6","RB","A1",FALSE,"0%","Tool","Bladelet","Optimal production","Optimal","Proximal",NA,7.69999980926514,2,3.84999990463257,NA,2.20000004768372,0.699999988079071,3.14285726449928,"Plain","Triangular",TRUE,FALSE,"Moderate",TRUE,"Moderate","Curved slightly","0","no","Trapezoidal","Sub-parallel","Unidirectional parallel","Unidirectional parallel",NA,FALSE,FALSE,"Bladelet with lateral retouch","Retouched bladelet","Inverse",NA,"Partial right","Unilateral right",NA,NA,"Chert","Local","Local","Local","no",NA
"RB_7","RB","A2",FALSE,"0%","Tool","Bladelet","Optimal production","Optimal","Proximal",NA,7.40000009536743,2,3.70000004768371,NA,2.90000009536743,0.600000023841858,4.83333330021964,"Plain","Irregular",FALSE,FALSE,"Absent",TRUE,"Pronounced","Straight","0","no","Triangular","Irregular","Unidirectional parallel","Unidirectional parallel",NA,FALSE,FALSE,"Bladelet with lateral retouch?","Retouched bladelet","Inverse",NA,"Partial right","Unilateral right",NA,NA,"Chert","Local","Local","Local","no",NA
"RB_8","RB","A1",FALSE,"0%","Tool","Bladelet","Optimal production","Optimal","Mesial",NA,6.30000019073486,1.70000004768372,3.70588236119094,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Absent",FALSE,"Absent","Straight","0","no","Trapezoidal",NA,"Unidirectional parallel","Unidirectional parallel",NA,FALSE,FALSE,"Bladelet with lateral retouch","Retouched bladelet","Inverse",NA,"Continuous right","Unilateral right",NA,NA,"Chert","Distant.France","Distant","France","no",NA
"RB_9","RB","A2",FALSE,"0%","Tool","Bladelet","Optimal production","Optimal","Proximal",NA,4.30000019073486,2.79999995231628,1.53571437998694,NA,1.89999997615814,0.300000011920929,6.33333300219642,"Plain","Rectangular",FALSE,FALSE,"Absent",TRUE,"Pronounced","Curved","1R","yes","Triangular",NA,"Unidirectional parallel","Unidirectional parallel",NA,FALSE,FALSE,"Bladelet with lateral retouch","Retouched bladelet","Inverse",NA,"Continuous right","Unilateral right",NA,NA,"Chert","Local","Local","Local","no",NA
"RB_10","RB","A2",FALSE,"0%","Tool","Blade","Optimal production","Optimal","Distal",NA,15.6999998092651,4.40000009536743,3.56818169749472,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Absent",FALSE,"Absent","Curved slightly","1R","yes","Trapezoidal","Convergent","Unidirectional convergent","Unidirectional convergent","Pointed",FALSE,FALSE,"Blade with lateral retouch","Retouched blade","Inverse",NA,"Continuous right","Unilateral right",NA,NA,"Chert","Local","Local","Local","no",NA
"RB_11","RB","A2",FALSE,"0%","Tool","Bladelet","Optimal production","Optimal","Mesial",NA,4.69999980926514,1.10000002384186,4.27272700672307,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Absent",FALSE,"Absent","Straight","0","no","Triangular",NA,"Unidirectional parallel","Unidirectional parallel",NA,FALSE,FALSE,"Bladelet with lateral retouch","Retouched bladelet","Inverse",NA,"Continuous right","Unilateral right",NA,NA,"Chert","Local","Local","Local","no",NA
"RB_12","RB","A1",FALSE,"0%","Tool","Bladelet","Optimal production","Optimal","Mesial",NA,6.40000009536743,1.70000004768372,3.76470583285427,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Absent",FALSE,"Absent","Straight","0","no","Triangular",NA,"Unidirectional","Unidirectional parallel",NA,FALSE,FALSE,"Bladelet with lateral retouch?","Retouched bladelet","Direct","Continuous left",NA,"Unilateral left",NA,NA,"Chert","Local","Local","Local","no",NA
"RB_13","RB","A1",TRUE,"0%","Tool","Bladelet","Optimal production","Optimal","Mesial",NA,6.19999980926514,1.5,4.13333320617676,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Absent",FALSE,"Absent","Straight","0","no","Triangular",NA,"Unidirectional","Unidirectional parallel",NA,FALSE,FALSE,"Bladelet with lateral retouch","Retouched bladelet","Direct","Continuous left",NA,"Unilateral left",NA,NA,"Chert","Local","Local","Local","no",NA
"RB_14","RB","A2",FALSE,"1-33%","Tool","Blade","Neo-crest","Maintenance","Complete",34.4000015258789,12.8000001907349,5,2.56000003814698,2.68750007916241,2.40000009536743,1.39999997615814,1.71428581159942,"Plain","Triangular",TRUE,TRUE,"Moderate",FALSE,"Absent","Curved intense","1L","yes","Lateral steep","Convergent","Unidirectional parallel + crossed","Other","Pointed",FALSE,FALSE,"Blade with lateral retouch?","Retouched blade","Inverse",NA,"Mesial right","Unilateral right",NA,NA,"Chert","Local","Local","Local","no",NA
"RB_15","RB","A2",FALSE,"0%","Tool","Bladelet","Optimal production","Optimal","Proximal",NA,5.69999980926514,1.79999995231628,3.16666664459088,NA,NA,NA,NA,"Undetermined","Undetermined",FALSE,FALSE,"Absent",FALSE,"Absent","Straight","0","no","Triangular",NA,"Unidirectional","Unidirectional parallel",NA,FALSE,FALSE,"Bladelet with lateral retouch","Retouched bladelet","Alternate","Continuous left","Continuous right","Ventral right",NA,NA,"Jasper","Distant.Italy","Distant","Italy","no",NA
"RB_16","RB","A2",FALSE,"0%","Tool","Bladelet","Optimal production","Optimal","Mesial",NA,9.19999980926514,1.5,6.13333320617676,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Absent",FALSE,"Absent","Straight","0","no","Polyhedral",NA,"Unidirectional parallel","Unidirectional parallel",NA,FALSE,FALSE,"Bladelet with lateral retouch","Retouched bladelet","Inverse",NA,"Discont. right","Unilateral right",NA,NA,"Jasper","Distant.Italy","Distant","Italy","no",NA
"RB_17","RB","A1",FALSE,"0%","Tool","Bladelet","Optimal production","Optimal","Mesial",NA,11.1999998092651,2.79999995231628,3.99999999999999,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Absent",FALSE,"Absent","Straight","0","no","Trapezoidal",NA,"Unidirectional parallel","Unidirectional parallel",NA,FALSE,FALSE,"Bladelet with lateral retouch?","Retouched bladelet","Direct","Continuous left",NA,"Unilateral left",NA,NA,"Jasper","Distant.Italy","Distant","Italy","no",NA
"RB_18","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Proximal",NA,8.89999961853027,1,8.89999961853027,NA,0.800000011920929,0.300000011920929,2.66666660043929,"Plain","Oval",FALSE,FALSE,"Absent",TRUE,"Pronounced","Straight","0","no","Trapezoidal","Sub-parallel","Unidirectional parallel","Unidirectional parallel",NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Jasper","Distant.Italy","Distant","Italy","no",NA
