ID,Site,Layer,Core.type,Core.classification,Core.classification.2,Laminar,Carinated,Core.blank,Platform.number,Surfaces.number,Blank.production,Bipolar.core,Striking.platform,Second.striking.platform,Flaking.surface,Reduction.pattern,Length,Width,Thickness,Flaking.surface.length,Flaking.surface.width,Second.flaking.surface.length,Second.flaking.surface.width,Last.removal.blank,Last.removal.length,Last.removal.width,Cortex,Cortex.position.core,Flaking.surface.profile,Second.flaking.surface.profile,Ratio_fsl_thickness,Ratio_l_t,Ratio_fsl_width,Ratio_l_w,Ratio_w_t,Volume,Area,raw.material.source,raw.material.type,raw.material.lumped,raw.material.provenience,scars.platform,scars.flaking.surface,scars.total,SDI,logSDI,X3D,Scanner
RB_1018,RB,A1,Carinated,Carinated,Carinated endscraper,yes,yes,Flake,1,1,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,21.4,29,24,13.80000019,29.29999924,NA,NA,Bladelet,11.9,4.8,1-33%,NA,NA,NA,0.575000008,0.891666667,0.475862076,0.737931034,1.208333333,3113.247559,1433.987989,Local,Chert,Local,Local,2,10,12,0.008368271,-2.077364268,yes,Artec.Spider
RB_1020,RB,A1,Platform flake,Platform flake,Wide-faced flat,no,no,Flake,1,1,Flake,FALSE,Cortical,NA,Unidirectional,Sub-parallel,29.60000038,38.5,13,26.5,31,NA,NA,Flake,NA,NA,1-33%,Striking platform,NA,NA,2.038461538,2.276923106,0.688311688,0.768831179,2.961538462,5610.946777,2579.543817,Local,Chert,Local,Local,0,10,10,0.003876654,-2.411542909,yes,Artec.Spider
RB_1021,RB,A1,Platform laminar,Multi-platform,Multi-platform;Semi-circumferential,yes,no,Block,2-unrelated,2,Bladelet-Flake,FALSE,Reshaped,Plain,Unidirectional,Convergent,19.4,25.7,27.5,22.60000038,29.5,19.60000038,22,Bladelet,8.3,3.4,0%,NA,NA,NA,0.821818196,0.705454545,0.879377447,0.754863813,0.934545455,6394.330078,2210.593081,Local,Chert,Local,Local,2,12,14,0.006333142,-2.198380771,yes,Artec.Spider
RB_1022,RB,A1,Shatter laminar,Shatter laminar,Narrow-sided,yes,no,Flake,1,1,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,19.89999962,25,26.60000038,20,25,NA,NA,Undetermined,NA,NA,0%,NA,NA,NA,0.751879688,0.748120276,0.8,0.795999985,0.939849611,6891.458984,2326.080058,Local,Chert,Local,Local,1,3,4,0.001719631,-2.764564667,yes,Artec.Spider
RB_1023,RB,A1,Platform laminar,Wide-faced flat,Wide-faced flat,yes,no,Flake,2-opposed,1,Bladelet,TRUE,Plain,Diedro,Bidirectional,Sub-parallel,25.89999962,18.10000038,12.19999981,25.89999962,18,NA,NA,Bladelet,18,4.8,0%,NA,NA,NA,2.122950822,2.122950822,1.430939175,1.430939175,1.483606612,2360.431641,1075.956374,Very-distant.Italy,Chert,Very.distant,Italy,3,22,25,0.023235143,-1.633854654,yes,Artec.Spider
RB_1030,RB,A1,Shatter laminar,Shatter laminar,Semi-circumferential,yes,no,Undetermined,1,1,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,15.39999962,13.10000038,8.5,NA,NA,NA,NA,Undetermined,NA,NA,0%,NA,NA,NA,NA,1.811764661,NA,1.175572456,1.541176515,1071.243652,647.0567896,Local,Chert,Local,Local,1,4,5,0.007727297,-2.111972394,yes,Artec.Spider
RB_1033,RB,A1,Tested,Tested,Tested,no,no,Flake,1,1,Flake,FALSE,NA,NA,NA,NA,27.89999962,22.70000076,43.29999924,NA,NA,NA,NA,NA,NA,NA,33-66%,Flaking surface;Lateral left;Lateral right,NA,NA,NA,0.644341804,NA,1.229074832,0.524249449,11996.9834,3302.371425,Local,Chert,Local,Local,2,1,3,0.000908438,-3.041704663,yes,Artec.Spider
RB_1040,RB,A1,Initial,Initial laminar,Burin core,yes,no,Flake,1,1,Flake,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,19.70000076,43.90000153,12.19999981,43.2,13.8,NA,NA,Flake,NA,NA,66-99%,NA,NA,NA,3.540983662,1.614754186,0.984054636,0.448747154,3.598360837,3379.51709,1686.488151,Distant.France,Chert,Distant,France,3,2,5,0.002964741,-2.52801329,yes,Artec.Spider
RB_1046,RB,A1,Platform laminar,Burin core,Burin core,yes,no,Blade,1,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,38.90000153,14.89999962,6.900000095,34.40000153,8.300000191,NA,NA,Bladelet,25.3,6.3,0%,NA,NA,NA,4.985507399,5.637681303,2.308724994,2.610738424,2.159420205,2159.197998,1264.625208,Distant.France,Chert,Distant,France,3,10,13,0.010279726,-1.988018482,yes,Artec.Spider
RB_1047,RB,A1,Platform laminar,Wide-faced flat,Wide-faced flat,yes,no,Undetermined,1,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,26.79999924,23.79999924,11.5,27.29999924,24,NA,NA,Flake,6,8.2,0%,NA,NA,NA,2.373912977,2.330434716,1.147058828,1.126050424,2.069565151,2779.836914,1337.461207,Distant.Italy,Jasper,Distant,Italy,4,14,18,0.013458334,-1.871008689,yes,Artec.Spider
